epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
66,1250.1,0.63255,0.48191,1.11383,0.98713,0.98401,0.99323,0.88541,0.55579,0.29867,0.92545,0.00113064,0.00113064,0.00113064
67,1268.92,0.62492,0.47434,1.10871,0.99237,0.98413,0.99378,0.88599,0.54916,0.28452,0.94382,0.00112239,0.00112239,0.00112239
68,1287.79,0.6096,0.45291,1.09206,0.98425,0.97983,0.99239,0.89619,0.50607,0.28238,0.91514,0.00111414,0.00111414,0.00111414
69,1306.61,0.624,0.46163,1.10956,0.98755,0.98334,0.99149,0.89168,0.52053,0.28555,0.92951,0.00110589,0.00110589,0.00110589
70,1325.45,0.60269,0.44898,1.08904,0.98674,0.9859,0.99398,0.90005,0.49955,0.27429,0.91323,0.00109764,0.00109764,0.00109764
71,1344.35,0.60191,0.43629,1.08975,0.97669,0.9878,0.99295,0.87591,0.55664,0.29108,0.94291,0.00108938,0.00108938,0.00108938
72,1363.17,0.62016,0.46776,1.10416,0.98802,0.98489,0.99111,0.87492,0.56317,0.2977,0.95687,0.00108113,0.00108113,0.00108113
73,1381.99,0.59323,0.45249,1.08686,0.97841,0.98807,0.99165,0.87833,0.53096,0.29255,0.92809,0.00107288,0.00107288,0.00107288
74,1400.81,0.58943,0.43516,1.08476,0.98442,0.98781,0.99327,0.89456,0.5194,0.28806,0.92437,0.00106463,0.00106463,0.00106463
75,1419.61,0.5885,0.44463,1.08619,0.98743,0.9765,0.99193,0.88199,0.54393,0.29316,0.93638,0.00105638,0.00105638,0.00105638
76,1438.42,0.59679,0.45146,1.09016,0.98103,0.98807,0.99181,0.87379,0.55558,0.28964,0.92179,0.00104813,0.00104813,0.00104813
77,1457.23,0.58386,0.42399,1.08096,0.98501,0.98576,0.99109,0.89015,0.5098,0.28082,0.92235,0.00103987,0.00103987,0.00103987
78,1476.05,0.58158,0.43066,1.07614,0.9927,0.98691,0.99432,0.88554,0.53131,0.27626,0.91487,0.00103162,0.00103162,0.00103162
79,1494.86,0.59447,0.43849,1.08488,0.99018,0.98972,0.9928,0.89887,0.47703,0.26163,0.88877,0.00102337,0.00102337,0.00102337
80,1513.67,0.59648,0.45347,1.09543,0.99024,0.98191,0.98995,0.89035,0.50929,0.27884,0.91857,0.00101512,0.00101512,0.00101512
81,1532.47,0.58805,0.44305,1.08376,0.98674,0.9842,0.99362,0.8946,0.5036,0.27825,0.90303,0.00100687,0.00100687,0.00100687
82,1551.3,0.58168,0.43665,1.08105,0.98221,0.98328,0.99261,0.88592,0.53958,0.27779,0.93207,0.000998616,0.000998616,0.000998616
83,1570.1,0.58458,0.42226,1.07555,0.99107,0.98832,0.9914,0.90191,0.48455,0.2618,0.8857,0.000990365,0.000990365,0.000990365
84,1589.03,0.57716,0.42617,1.0794,0.98753,0.9867,0.99374,0.89867,0.50387,0.26784,0.90723,0.000982113,0.000982113,0.000982113
85,1607.84,0.56427,0.42016,1.06788,0.99082,0.98603,0.99393,0.90728,0.47898,0.24923,0.89304,0.000973861,0.000973861,0.000973861
86,1626.76,0.57819,0.42879,1.07619,0.98531,0.98248,0.99355,0.8945,0.50357,0.27634,0.9144,0.00096561,0.00096561,0.00096561
87,1645.57,0.57974,0.43312,1.08194,0.98459,0.98692,0.99332,0.90199,0.47917,0.26563,0.89018,0.000957358,0.000957358,0.000957358
88,1664.38,0.56779,0.4124,1.06421,0.98561,0.98941,0.9933,0.91502,0.4671,0.25497,0.88223,0.000949106,0.000949106,0.000949106
89,1683.28,0.557,0.41828,1.06311,0.9861,0.98972,0.99332,0.90342,0.48533,0.26014,0.89627,0.000940855,0.000940855,0.000940855
90,1702.09,0.56766,0.41482,1.06736,0.99055,0.98972,0.99384,0.91562,0.46476,0.25512,0.89012,0.000932603,0.000932603,0.000932603
91,1720.96,0.5584,0.40214,1.06122,0.99123,0.98207,0.99321,0.90786,0.48348,0.25267,0.88955,0.000924352,0.000924352,0.000924352
92,1739.8,0.5474,0.4052,1.05841,0.98494,0.99062,0.99394,0.90732,0.47118,0.25266,0.88579,0.0009161,0.0009161,0.0009161
93,1758.61,0.564,0.42461,1.06818,0.99043,0.98612,0.99364,0.9121,0.46375,0.25595,0.88396,0.000907848,0.000907848,0.000907848
94,1777.45,0.53792,0.40175,1.0545,0.97732,0.98897,0.99247,0.91652,0.45582,0.25919,0.87757,0.000899597,0.000899597,0.000899597
95,1796.36,0.54472,0.40493,1.05608,0.98542,0.97988,0.99198,0.92056,0.45407,0.25939,0.87469,0.000891345,0.000891345,0.000891345
96,1815.29,0.5471,0.39503,1.05424,0.98749,0.98946,0.99282,0.90989,0.46483,0.26269,0.88362,0.000883093,0.000883093,0.000883093
97,1834.09,0.53541,0.39422,1.04488,0.986,0.99226,0.99439,0.91046,0.48002,0.24759,0.90505,0.000874842,0.000874842,0.000874842
98,1853.01,0.55455,0.42009,1.06748,0.98901,0.98486,0.99375,0.90616,0.49552,0.25345,0.90371,0.00086659,0.00086659,0.00086659
99,1871.88,0.53426,0.38781,1.04438,0.98895,0.99148,0.99419,0.92027,0.46342,0.2484,0.89168,0.000858338,0.000858338,0.000858338
100,1890.74,0.53141,0.39696,1.04685,0.97906,0.98911,0.99421,0.91623,0.47308,0.25522,0.89647,0.000850087,0.000850087,0.000850087
101,1909.59,0.54459,0.40723,1.05924,0.99204,0.99007,0.99465,0.91053,0.49182,0.25351,0.89855,0.000841835,0.000841835,0.000841835
102,1928.43,0.5483,0.41118,1.05791,0.98497,0.9875,0.99374,0.90392,0.50073,0.24815,0.89912,0.000833583,0.000833583,0.000833583
103,1947.25,0.52702,0.39137,1.04852,0.98275,0.98832,0.99328,0.91795,0.4646,0.24193,0.88542,0.000825332,0.000825332,0.000825332
104,1966.11,0.51919,0.38341,1.03984,0.99432,0.99206,0.99445,0.91827,0.48017,0.23984,0.89129,0.00081708,0.00081708,0.00081708
105,1984.93,0.525,0.37772,1.04355,0.98599,0.9872,0.99337,0.91669,0.4637,0.24443,0.87861,0.000808828,0.000808828,0.000808828
106,2003.77,0.52836,0.3896,1.04691,0.99387,0.98819,0.99441,0.91109,0.49648,0.24291,0.89105,0.000800577,0.000800577,0.000800577
107,2022.58,0.52232,0.38291,1.03875,0.98574,0.99111,0.99427,0.91017,0.47629,0.24447,0.88743,0.000792325,0.000792325,0.000792325
108,2041.4,0.51363,0.37814,1.04152,0.98526,0.99068,0.99386,0.91534,0.46744,0.24737,0.89061,0.000784073,0.000784073,0.000784073
109,2060.21,0.50638,0.37362,1.0343,0.9858,0.98803,0.99405,0.90517,0.49061,0.25149,0.89462,0.000775822,0.000775822,0.000775822
110,2079.03,0.51833,0.37343,1.03221,0.98045,0.99086,0.99397,0.91323,0.45962,0.24043,0.88609,0.00076757,0.00076757,0.00076757
111,2097.86,0.51052,0.36783,1.03533,0.99247,0.98715,0.99405,0.91507,0.47593,0.23639,0.90534,0.000759318,0.000759318,0.000759318
112,2116.7,0.51106,0.37747,1.03826,0.98922,0.99097,0.99435,0.91054,0.47818,0.23501,0.89335,0.000751067,0.000751067,0.000751067
113,2135.51,0.52935,0.391,1.04398,0.98889,0.99215,0.99448,0.90336,0.49685,0.24056,0.90572,0.000742815,0.000742815,0.000742815
114,2154.34,0.52118,0.384,1.04946,0.99225,0.99045,0.99442,0.91444,0.46387,0.23077,0.89375,0.000734564,0.000734564,0.000734564
115,2173.18,0.51654,0.37945,1.03723,0.98799,0.98915,0.99442,0.92191,0.44202,0.23933,0.86957,0.000726312,0.000726312,0.000726312
116,2192.11,0.51331,0.36948,1.03344,0.98795,0.99041,0.99402,0.91125,0.46432,0.23727,0.89025,0.00071806,0.00071806,0.00071806
117,2210.92,0.51318,0.37405,1.03385,0.99021,0.98972,0.99432,0.92315,0.43149,0.22595,0.87728,0.000709809,0.000709809,0.000709809
118,2229.87,0.51389,0.37378,1.03657,0.99183,0.99102,0.99405,0.92043,0.43511,0.23432,0.87378,0.000701557,0.000701557,0.000701557
119,2248.67,0.49852,0.36084,1.03024,0.99329,0.98766,0.99412,0.91852,0.44631,0.23525,0.87376,0.000693305,0.000693305,0.000693305
120,2267.5,0.49966,0.36807,1.03096,0.99352,0.99039,0.99404,0.91398,0.45461,0.23698,0.87673,0.000685054,0.000685054,0.000685054
